,AARP,AGA,AGE,AGT,RANDOM,UARP,UGA,UGE,UGT
0,0.924158699993,0.988201852662,0.987019028601,0.987797978029,0.917934656718,0.926795220561,0.92418428549,0.890952996539,0.918746041207
1,0.991437779513,0.99429387253,0.994290138732,0.993492663022,0.991780285942,0.992000341314,0.990710563432,0.990788387094,0.989226511036
2,0.901153059183,0.957832290889,0.937644478418,0.937853514645,0.895733213462,0.887225812169,0.948351213557,0.912821544244,0.944926904812
3,0.987672721376,0.976840095168,0.991653575203,0.988197564316,0.966092933286,0.980561694188,0.992656696411,0.99002220761,0.993097364863
4,0.954780430255,0.99264588474,0.981895727717,0.987713873766,0.954392493457,0.952754448966,0.976206232476,0.959205563746,0.924466251008
5,0.924427624461,0.981958768483,0.978867267986,0.980531624077,0.927526046537,0.939424491989,0.905377273237,0.917668368843,0.905044784765
6,0.961990093646,0.986937990529,0.989322923268,0.990647304995,0.967784970235,0.969211557759,0.975428558626,0.969885934581,0.949196351309
7,0.910243201559,0.981708170128,0.981188968414,0.977403818353,0.913416347224,0.924876538667,0.905176007926,0.925589327762,0.892748922691
8,0.945522525067,0.99012569088,0.989660374895,0.989885795608,0.942897243694,0.935506755068,0.973289304509,0.968703146572,0.964553324526
9,0.935055387352,0.964273130685,0.9652405787,0.939436348857,0.934051776872,0.939943992874,0.960124021163,0.961650448918,0.956682815512
10,0.924904403501,0.982522857985,0.978417965932,0.974020324053,0.912842527786,0.934227887055,0.881014730187,0.87022612742,0.840087851261
11,0.964945338571,0.983464146649,0.983173647301,0.982754131322,0.956898417936,0.965214861545,0.96109501828,0.949194805482,0.937713312675
12,0.890773908685,0.97672700463,0.98145098357,0.973419913884,0.916736942247,0.918081172545,0.915460823813,0.923377081145,0.854046809006
13,0.955616054405,0.969685555674,0.970123007541,0.965398201729,0.957239086622,0.959013104557,0.96294183923,0.962836235386,0.95550483992
14,0.908835500479,0.983243742338,0.982925069917,0.982362907665,0.957223734209,0.958933725241,0.965132314768,0.906030175789,0.943552801548
15,0.952039298559,0.986873288101,0.987612983265,0.986215087203,0.969335402168,0.952838619414,0.980372230184,0.940999447063,0.96376976824
16,0.937437871122,0.977904911495,0.974468627068,0.975609747391,0.933135139102,0.916102964178,0.9639477752,0.961013665707,0.961107424651
