ugt,uga,uge,uarp,agt,aga,age,aarp,random
2080.5458474,878.3958219,3.8827862,0.8545472,0.4716187,0.1688359,1.0109609,0.1688359,4.17375174
34.8493513,208.8852158,0.873432,0.7232254,0.5162204,0.1474411,0.2661558,0.2112403,1.55275752
25.5,91.6,28.1,28.1,25.5,25.5,50.5,47.3,49.672
1053.58998799,1053.58998799,903.119739054,4.8447240591,2.83285796642,2.83285796642,2.83285796642,4.28567790985,318.909390433
77.380464,576.853761,14.5358,0.88265,7.833392,0.567724,6.95462,0.567724,17.4382674
128.6777174,62.1715993,0.8847463,0.9726471,0.0690183,0.0690183,1.7807486,0.0568364,1.854111794
15141.492525,21.879516,2.424359,1.923073,0.192166,0.192166,10.392848,0.271928,6.46316322
1060.948391,1060.948391,5.247013,294.588942,3.825011,3.55748,210.435969,30.159887,294.52072938
111.4269027,111.4269027,423.4674755,1.5293633,1.2143689,1.2143689,2.9337961,1.689507,7.356382928
111.0,111.0,111.0,37.9,6.5,6.5,5.8,6.3,16.788
7000.6182803,1748.4979561,2.7191313,2.7191313,0.3723798,0.2870746,0.8317214,0.2559428,32.723830344
7497.8811583,164.7975427,13.8258447,10.5610921,0.5210832,0.5210832,0.6678463,0.5210832,83.663813572
8365.0947933,92.2748045,368.4078955,178.1479078,48.762386,48.762386,78.9737327,48.762386,1338.55376266
904.2,614.9,61.8,34.1,16.9,16.9,16.9,15.4,59.852
32.037,32.037,0.525,0.01,0.01,0.01,0.109,0.01,0.7374
2.7,1.1,2.2,0.505,1.1,0.605,0.505,0.605,1.21232
136.213,136.213,3.101,0.317,0.723,0.426,0.911,0.327,12.99342
